apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +245,Press Esc to close,اضغط على ESC لإغلاق
apps/frappe/frappe/desk/form/assign_to.py +153,"A new task, {0}, has been assigned to you by {1}. {2}",مهمة جديدة، {0}، أسندت إليك بواسطة {1}. {2}
apps/frappe/frappe/desk/page/chat/chat_main.html +14,Post,بعد
apps/frappe/frappe/config/setup.py +109,Rename many items by uploading a .csv file.,إعادة تسمية العديد من العناصر عن طريق تحميل ملف CSV .
DocType: Workflow State,pause,وقفة
apps/frappe/frappe/templates/pages/desk.py +18,You are not permitted to access this page.,لا يسمح لك بالوصول إلى هذه الصفحة.
DocType: About Us Settings,Website,الموقع
DocType: User,Facebook Username,الفيسبوك اسم المستخدم
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,ملاحظة: سيتم السماح جلسات متعددة في حالة جهاز المحمول
apps/frappe/frappe/email/bulk.py +152,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,لا يمكن إرسال هذا البريد الإلكتروني. لقد تجاوزت الحدود ارسال {0} رسائل البريد الإلكتروني لهذا الشهر.
apps/frappe/frappe/public/js/legacy/form.js +709,Permanently Submit {0}?,إرسال دائم {0} ؟
apps/frappe/frappe/client.py +162,Invalid file path: {0},مسار الملف غير صالح: {0}
DocType: Workflow State,eye-open,فتح العين
DocType: Bulk Email,Send After,إرسال بعد
apps/frappe/frappe/utils/file_manager.py +31,Please select a file or url,يرجى تحديد ملف أو URL
DocType: User,Username,اسم االمستخدم
DocType: DocField,DocField,DocField
DocType: DocField,Options,خيارات
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +361,Cannot edit standard fields,لا تستطيع تعديل الحقول القياسية
DocType: Print Format,Print Format Builder,باني تنسيق الطباعة
apps/frappe/frappe/public/js/frappe/ui/page.js +4,Form,شكل
DocType: Report,Report Manager,تقرير مدير
DocType: Workflow,Document States,الولايات ثيقة
apps/frappe/frappe/public/js/frappe/views/pageview.js +102,Sorry! I could not find what you were looking for.,آسف! أنا لا يمكن أن تجد ما تبحث عنه.
apps/frappe/frappe/config/core.py +42,Logs,السجلات
DocType: DocPerm,This role update User Permissions for a user,هذا الدور ضوابط التحديث العضو لمستخدم
apps/frappe/frappe/public/js/frappe/model/model.js +511,Rename {0},إعادة تسمية {0}
DocType: Workflow State,zoom-out,تصغير
apps/frappe/frappe/public/js/legacy/form.js +66,Cannot open {0} when its instance is open,لا يمكن فتح {0} عندما مثيل لها مفتوح
apps/frappe/frappe/model/document.py +793,Table {0} cannot be empty,الجدول {0} لا يمكن أن تكون فارغة
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +893,With Ledgers,مع سجلات الحسابات
DocType: Communication,Reference Owner,إشارة المالك
DocType: Currency,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,أصغر وحدة تعميم جزء (عملة). على سبيل المثال ل 1 في المائة لUSD ويجب إدخال كما 0.01
DocType: Social Login Keys,GitHub,جيثب
apps/frappe/frappe/model/base_document.py +489,"{0}, Row {1}",{0}، الصف {1}
apps/frappe/frappe/model/document.py +767,Beginning with,بدء ب
apps/frappe/frappe/core/page/data_import_tool/exporter.py +51,Data Import Template,البيانات قالب الاستيراد
apps/frappe/frappe/public/js/frappe/model/model.js +31,Parent,أصل
DocType: About Us Settings,"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة"""
apps/frappe/frappe/core/doctype/doctype/doctype.py +313,Default for 'Check' type of field must be either '0' or '1',يجب أن يكون الافتراضي ل 'تحقق' نوع من المجال إما '0' أو '1'
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +45,Yesterday,أمس
apps/frappe/frappe/public/js/frappe/views/test_runner.js +10,Test Runner,اختبار عداء
DocType: Email Account,Enable Incoming,تمكين واردة
DocType: Workflow State,Danger,خطر
apps/frappe/frappe/templates/pages/login.html +35,Email Address,عنوان البريد الإلكتروني
DocType: Workflow State,th-large,TH-الكبيرة
DocType: Communication,Unread Notification Sent,إعلام مقروء المرسلة
apps/frappe/frappe/public/js/frappe/misc/tools.js +8,Export not allowed. You need {0} role to export.,الصادرات غير مسموح به. تحتاج {0} دور للتصدير.
apps/frappe/frappe/public/js/frappe/ui/filters/edit_filter.html +11,Not Like,لا تعجبني
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +175,Set the display label for the field,تعيين التسمية عرض للحقل
apps/frappe/frappe/model/document.py +784,Incorrect value: {0} must be {1} {2},قيمة غير صحيحة: {0} يجب أن يكون {1} {2}
apps/frappe/frappe/config/setup.py +216,"Change field properties (hide, readonly, permission etc.)",تغيير خصائص الحقل (إخفاء ، للقراءة فقط ، إذن الخ )
DocType: Workflow State,lock,قفل
apps/frappe/frappe/config/website.py +74,Settings for Contact Us Page.,إعدادات الاتصال بنا الصفحة.
apps/frappe/frappe/core/doctype/user/user.py +553,Administrator Logged In,تسجيل دخول مسؤول النظام
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",خيارات الاتصال، مثل &quot;الاستعلام المبيعات والدعم الاستعلام&quot; الخ كل على سطر جديد أو مفصولة بفواصل.
apps/frappe/frappe/public/js/frappe/ui/editor.js +446,Insert,إدراج
apps/frappe/frappe/public/js/frappe/form/link_selector.js +21,Select {0},حدد {0}
DocType: Print Settings,Classic,كلاسيكي
DocType: Desktop Icon,Color,اللون
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +50,For ranges,للنطاقات
DocType: Workflow State,indent-right,المسافة البادئة اليمنى
apps/frappe/frappe/public/js/frappe/ui/upload.html +12,Web Link,ارتباط ويب
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +41,1 minute ago,منذ 1 دقيقة
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +33,"Recommended bulk editing records via import, or understanding the import format.",موصى به لتعديل مجموعة سجلات من خلال الاستيراد أو معرف تنسيق الاستيراد.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",وبصرف النظر عن إدارة نظام أدوار مع مجموعة أذونات المستخدم حق يمكن تعيين أذونات للمستخدمين الآخرين لذلك نوع الوثيقة.
DocType: Company History,Company History,نبذة عن تاريخ الشركة
apps/frappe/frappe/website/doctype/portal_settings/portal_settings.js +9,Reset,إعادة تعيين
DocType: Workflow State,volume-up,حجم المتابعة
apps/frappe/frappe/core/page/data_import_tool/importer.py +47,Only allowed {0} rows in one import,فقط يسمح {0} الصفوف في استيراد واحد
apps/frappe/frappe/public/js/frappe/list/list_sidebar.js +61,Refresh Stats,تحديث الإحصاءات
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +4,"To import or update records, you must first download the template for importing.",لاستيراد أو تحديث السجلات، يجب أولا تنزيل قالب للاستيراد.
DocType: DocType,Default Print Format,طباعة شكل الافتراضي
DocType: Workflow State,Tags,علامات
apps/frappe/frappe/public/js/frappe/form/workflow.js +33,None: End of Workflow,لا شيء: نهاية سير العمل
apps/frappe/frappe/model/db_schema.py +340,"{0} field cannot be set as unique in {1}, as there are non-unique existing values",الحقل {0} لا يمكن ضبطه كفريد في {1}، لعدم وجود قيم فريدة من نوعها
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +47,Document Types,أنواع المستندات
DocType: Workflow,Workflow State Field,حقل حالة سير العمل
DocType: Blog Post,Guest,ضيف
DocType: DocType,Title Field,حقل العنوان
apps/frappe/frappe/core/doctype/user/user.py +550,"If you think this is unauthorized, please change the Administrator password.",إذا كنت تعتقد أن هذا غير المصرح به، الرجاء تغيير كلمة مرور المسؤول.
apps/frappe/frappe/email/doctype/email_account/email_account.py +63,{0} is mandatory,{0} إلزامي
DocType: Workflow State,eject,طرد
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +16,Help for User Permissions,مساعدة لضوابط العضو
DocType: Standard Reply,Owner,مالك
DocType: Communication,Visit,زيارة
DocType: Translation,Translation,ترجمة
apps/frappe/frappe/desk/page/applications/application_row.html +16,Install,تثبيت
apps/frappe/frappe/public/js/frappe/model/meta.js +148,Last Modified On,آخر تعديل
DocType: Custom Script,Client,عميل
apps/frappe/frappe/public/js/legacy/form.js +443,This form has been modified after you have loaded it,تم تعديل هذا النموذج بعد أن كنت قد تحميلها
DocType: Website Settings,Twitter Share via,Twitter المشاركة عبر
apps/frappe/frappe/config/website.py +23,Embed image slideshows in website pages.,تضمين عرض الشرائح صورة في صفحات الموقع.
DocType: Workflow Action,Workflow Action Name,سير العمل اسم العمل
apps/frappe/frappe/core/doctype/doctype/doctype.py +159,DocType can not be merged,لا يمكن دمج DOCTYPE
DocType: Web Form Field,Fieldtype,Fieldtype
DocType: Error Snapshot,Friendly Title,عنوان دية
apps/frappe/frappe/desk/form/save.py +46,Did not cancel,لم إلغاء
DocType: Workflow State,plus,زائد
apps/frappe/frappe/config/desktop.py +19,File Manager,مدير الملفات
DocType: Scheduler Log,Scheduler Log,جدولة دخول
apps/frappe/frappe/public/js/frappe/misc/user.js +67,You,أنت
DocType: Website Theme,lowercase,أحرف صغيرة
DocType: Print Format,Helvetica,هلفتيكا
DocType: Note,Everyone can read,يمكن أن يقرأها الجميع
apps/frappe/frappe/core/report/permitted_documents_for_user/permitted_documents_for_user.py +25,Please specify user,يرجى تحديد المستخدم
DocType: Email Unsubscribe,Email Unsubscribe,البريد الإلكتروني إلغاء الاشتراك
DocType: Website Settings,Select an image of approx width 150px with a transparent background for best results.,اختر صورة من تقريبا عرض 150px مع خلفية شفافة للحصول على أفضل النتائج.
apps/frappe/frappe/public/js/frappe/form/grid_body.html +12,Add multiple rows,إضافة صفوف متعددة
apps/frappe/frappe/custom/doctype/custom_field/custom_field.py +63,"Insert After field '{0}' mentioned in Custom Field '{1}', does not exist",إدراج بعد الحقل '{0}' المذكورة في حقل مخصص '{1}' غير موجود
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard.js +443,The first user will become the System Manager (you can change this later).,المستخدم الأول سوف تصبح مدير النظام (يمكنك تغيير هذا لاحقا).
,App Installer,التطبيق المثبت
DocType: Workflow State,circle-arrow-up,دائرة السهم إلى أعلى
apps/frappe/frappe/public/js/frappe/upload.js +156,Uploading...,تحميل ...
DocType: Workflow State,italic,مائل
apps/frappe/frappe/core/doctype/doctype/doctype.py +524,{0}: Cannot set Import without Create,{0} : لا يمكن تحديد استيراد دون إنشاء
apps/frappe/frappe/config/desk.py +21,Event and other calendars.,الحدث والتقويمات الأخرى.
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +628,Drag to sort columns,اسحب لفرز الأعمدة
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_column_selector.html +2,Widths can be set in px or %.,الاعراض يمكن تعيين في مقصف أو٪.
apps/frappe/frappe/public/js/frappe/form/print.js +99,Start,بداية
DocType: User,First Name,الاسم الأول
apps/frappe/frappe/core/doctype/file/file.py +150,Cannot delete Home and Attachments folders,لا يمكن حذف الرئيسية والمرفقات المجلدات
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +6,Permissions get applied on Users based on what Roles they are assigned.,الحصول على تطبيق الأذونات على المستخدمين على أساس ما الأدوار التي تم تعيينها .
apps/frappe/frappe/public/js/frappe/views/communication.js +374,You are not allowed to send emails related to this document,لا يسمح لك بإرسال رسائل البريد الإلكتروني ذات الصلة لهذه الوثيقة
apps/frappe/frappe/website/doctype/website_theme/website_theme.py +30,You are not allowed to delete a standard Website Theme,لا يسمح لك لحذف موضوع الموقع القياسية
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +197,Example,مثال
DocType: Workflow State,gift,هدية
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +201,Reqd,Reqd
apps/frappe/frappe/core/doctype/communication/email.py +216,Unable to find attachment {0},غير قادر على العثور مرفق {0}
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +189,Assign a permission level to the field.,تعيين مستوى إذن إلى الميدان.
apps/frappe/frappe/config/setup.py +44,Show / Hide Modules,إظهار / إخفاء وحدات
apps/frappe/frappe/core/doctype/report/report.js +37,Disable Report,تعطيل تقرير
DocType: Report,JavaScript Format: frappe.query_reports['REPORTNAME'] = {},جافا سكريبت الصيغة: frappe.query_reports [' REPORTNAME '] = { }
DocType: Version,Doclist JSON,Doclist جسون
DocType: Workflow State,chevron-up,شيفرون المتابعة
apps/frappe/frappe/public/js/frappe/ui/toolbar/offcanvas_left_sidebar.html +27,Documentation,توثيق
DocType: DocShare,Internal record of document shares,السجل الداخلي للأسهم وثيقة
DocType: Workflow State,Comment,تعليق
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +17,"You can change Submitted documents by cancelling them and then, amending them.",يمكنك تغيير الوثائق المسجلة من خلال إلغائها ، ثم تعديلها .
DocType: DocField,Display,عرض
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +25,"If a Role does not have access at Level 0, then higher levels are meaningless.",إذا لم يكن لديك الوصول دور في المستوى 0، ثم مستويات أعلى لا معنى لها.
DocType: Communication,Seen,رأيت
apps/frappe/frappe/public/js/frappe/form/layout.js +88,Show more details,إظهار مزيد من التفاصيل
apps/frappe/frappe/public/js/frappe/form/layout.js +105,Hide details,إخفاء التفاصيل
DocType: System Settings,Run scheduled jobs only if checked,تشغيل المهام المجدولة إلا إذا دققت
DocType: User,"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",إدخال الحقول القيمة الافتراضية (مفاتيح) والقيم. إذا قمت بإضافة قيم متعددة للحقل، وسيتم اختيار أول واحد. وتستخدم هذه الافتراضات أيضا إلى وضع قواعد إذن &quot;مباراة&quot;. لمشاهدة قائمة من المجالات، انتقل إلى &quot;نموذج تخصيص&quot;.
DocType: Communication,Message,رسالة
DocType: Customize Form Field,"Print Width of the field, if the field is a column in a table",طباعة العرض في هذا المجال، إذا كان الحقل هو عمود في الجدول
DocType: Dropbox Backup,Dropbox Access Key,دروببوإكس مفتاح الوصول
DocType: Workflow State,headphones,سماعة الرأس
DocType: Bulk Email,Bulk Email records.,سجلات البريد الإلكتروني السائبة.
DocType: Email Account,e.g. replies@yourcomany.com. All replies will come to this inbox.,على سبيل المثال replies@yourcomany.com. سيأتي كل الردود على هذا البريد الوارد.
apps/frappe/frappe/templates/includes/login/login.js +33,Valid email and name required,مطلوب بريد إلكتروني صالح واسم صالح
DocType: DocType,Hide Heading,إخفاء عنوان
apps/frappe/frappe/config/core.py +17,Groups of DocTypes,مجموعات من DocTypes
DocType: Workflow State,remove-circle,إزالة دائرة،
apps/frappe/frappe/config/website.py +64,Javascript to append to the head section of the page.,جافا سكريبت لإلحاق رئيس قسم من الصفحة.
apps/frappe/frappe/templates/pages/print.py +72,Not allowed to print draft documents,لا يسمح لطباعة مسودات الوثائق
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +69,Reset to defaults,إعادة تعيين إلى الإعدادات الافتراضية
DocType: Workflow,Transition Rules,الانتقال قوانين
apps/frappe/frappe/core/doctype/report/report.js +11,Example:,على سبيل المثال:
DocType: Workflow,Defines workflow states and rules for a document.,تعرف حالة سير العمل وقواعد وثيقة.
DocType: Workflow State,Filter,فلتر
DocType: DocType,Show this field as title,تظهر هذا المجال كما لقب
apps/frappe/frappe/model/db_schema.py +546,Fieldname {0} cannot have special characters like {1},FIELDNAME {0} لا يمكن أن يكون أحرف خاصة مثل {1}
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard.js +248,Select Your Language,اختر اللغة الخاصة بك
apps/frappe/frappe/model/document.py +465,Error: Document has been modified after you have opened it,تم تعديل الوثيقة بعد أن كنت قد فتحه: خطأ
apps/frappe/frappe/core/doctype/doctype/doctype.py +545,{0}: Cannot set Assign Submit if not Submittable,{0} : لا يمكن تحديد تعيين بالتأكيد إذا لم يكن قابل للتأكيد
DocType: Social Login Keys,Facebook,الفيسبوك
apps/frappe/frappe/templates/pages/list.py +48,"Filtered by ""{0}""",تمت تصفيتها من قبل &quot;{0}&quot;
DocType: DocType,Administrator,مدير
apps/frappe/frappe/desk/page/chat/chat.js +54,Message from {0},رسالة من {0}
DocType: Communication,Closed,مغلق
DocType: Blog Settings,Blog Title,بلوق العنوان
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +12,Edit to set heading,تحرير لتحديد التوجه
DocType: About Us Settings,Team Members,أعضاء الفريق
apps/frappe/frappe/public/js/frappe/upload.js +83,Please attach a file or set a URL,يرجى إرفاق ملف أو إدراج رابط
DocType: Async Task,System Manager,إدارة نظام
DocType: DocField,Permissions,صلاحيات
DocType: Dropbox Backup,Allow Dropbox Access,تسمح قطاف الدخول
DocType: User,Get your globally recognized avatar from Gravatar.com,الحصول على الرمزية الخاص بك المعترف بها عالميا من Gravatar.com
DocType: Workflow State,plus-sign,زائد توقيع
apps/frappe/frappe/__init__.py +784,App {0} is not installed,لم يتم تثبيت التطبيق {0}
DocType: Workflow State,Refresh,تحديث
DocType: Event,Public,جمهور
apps/frappe/frappe/public/js/frappe/ui/listing.js +52,Nothing to show,لا شيء لإظهار
apps/frappe/frappe/public/js/frappe/model/model.js +24,Liked By,أحب بواسطة
DocType: DocField,Print Hide If No Value,طباعة إخفاء إذا لا قيمة
apps/frappe/frappe/public/js/frappe/form/footer/attachments.js +211,Upload Attachment,تحميل المرفقات
DocType: Block Module,Block Module,كتلة الوحدة
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +3,Export Template,تصدير قالب
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +363,No permission to edit,لا توجد صلاحية ل تعديل
DocType: Desktop Icon,Module,وحدة
DocType: Email Alert,Send Alert On,إرسال تنبيه في
DocType: Web Form,Website URL,رابط الموقع
DocType: Customize Form,"Customize Label, Print Hide, Default etc.",تخصيص تسمية، إخفاء طباعة، الخ الافتراضي
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_start.html +16,Create a New Format,انشاء شكل جديد
